runIndex,n,repetition,status,rounds,multicasts,minMs,avgMs,maxMs,durationSeconds,heapMbPerNode,logDir
0,2,1,ok,5,4,0.167,6.936,32.625,0.391,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
1,2,2,ok,5,2,0.197,6.45,27.337,0.266,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
2,2,3,ok,7,3,0.195,4.983,28.624,0.25,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
3,2,4,ok,5,1,0.178,5.839,24.287,0.265,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
4,2,5,ok,3,0,0.226,8.469,24.866,0.265,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
5,2,6,ok,6,1,0.209,4.998,24.805,0.266,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
6,2,7,ok,5,1,0.179,5.885,24.259,0.265,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
7,2,8,ok,4,1,0.226,7.562,29.488,0.266,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
8,2,9,ok,7,3,0.189,4.932,32.762,0.266,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
9,2,10,ok,6,2,0.213,5.554,24.05,0.265,4096,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
10,4,1,ok,4,2,0.421,14.799,57.765,0.344,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
11,4,2,ok,4,3,0.394,15.597,60.955,0.328,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
12,4,3,ok,5,4,0.371,12.686,60.793,0.297,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
13,4,4,ok,7,3,0.38,8.428,47.306,0.407,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
14,4,5,ok,7,3,0.385,8.382,55.169,0.469,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
15,4,6,ok,8,7,0.379,8.581,58.138,0.453,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
16,4,7,ok,8,4,0.376,8.036,56.225,0.406,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
17,4,8,ok,4,1,0.426,13.471,52.411,0.421,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
18,4,9,ok,7,5,0.385,9.289,56.737,0.329,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
19,4,10,ok,6,3,0.393,9.914,52.35,0.328,2048,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
20,8,1,ok,5,4,0.906,23.527,109.019,0.5,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
21,8,2,ok,7,7,0.867,18.321,110.85,0.531,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
22,8,3,ok,5,5,0.797,23.385,111.992,0.485,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
23,8,4,ok,6,10,0.844,22.987,117.761,0.516,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
24,8,5,ok,5,8,0.907,26.04,114.929,0.578,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
25,8,6,ok,8,12,0.817,17.561,124.645,0.578,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
26,8,7,ok,9,9,0.833,14.776,117.811,0.532,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
27,8,8,ok,7,4,0.762,16.844,106.707,0.547,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
28,8,9,ok,6,10,0.84,23.165,132.196,0.547,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
29,8,10,ok,7,7,0.846,17.834,108.098,0.547,1024,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
30,16,1,ok,10,20,2.202,28.658,238.984,1.046,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
31,16,2,ok,8,17,2.22,33.934,244.021,0.86,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
32,16,3,ok,7,15,2.041,37.865,223.248,0.922,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
33,16,4,ok,7,15,2.259,37.771,234.792,0.875,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
34,16,5,ok,10,15,2.07,27.169,218.493,0.938,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
35,16,6,ok,9,12,2.398,30.204,236.97,0.921,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
36,16,7,ok,8,16,2.3,34.745,248.491,0.828,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
37,16,8,ok,9,17,2.437,33.075,263.825,0.875,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
38,16,9,ok,8,16,2.456,35.976,241.143,0.859,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
39,16,10,ok,7,12,1.988,36.096,225.873,0.969,512,C:\Users\valen\IdeaProjects\2026S-DS\sim4da-S26-pingpong\results\tokenring-20260529-164437
